id,address,gu,dong,mac_score,lot_score,burgerking_score,seveneleven_score,cu_score,gs25_score,starbucks_score,lottecinema_score,megabox_score,cgv_score,total_score,high_oil,oil,oil2,total,catch,percent,mac_count,lot_count,burgerking_count,seveneleven_count,cu_count,gs25_count,starbucks_count,lottecinema_count,megabox_count,cgv_count,total_count
460,서울특별시 강남구 신사동,강남구,신사동,6.67,0.0,3.33,4.68,3.6,4.5,3.48,0.0,0.0,10.0,36.26,1946.26,1691.91,1542.12,7513,5196,69.2,2,0,1,22,27,36,8,0,0,2,98
461,서울특별시 강남구 논현동,강남구,논현동,10.0,1.25,10.0,5.32,4.53,6.12,3.91,5.0,0.0,0.0,46.14,2074.86,1874.5,1725.22,7513,5196,69.2,3,1,3,25,34,49,9,1,0,0,125
462,서울특별시 강남구 압구정동,강남구,압구정동,0.0,0.0,0.0,0.0,0.27,0.88,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,7513,5196,69.2,0,0,0,0,2,7,0,0,0,0,9
463,서울특별시 강남구 세곡동,강남구,세곡동,0.0,1.25,0.0,0.21,0.27,0.38,0.0,0.0,0.0,0.0,2.1,0.0,1557.5,1414.0,7513,5196,69.2,0,1,0,1,2,3,0,0,0,0,7
464,서울특별시 강남구 자곡동,강남구,자곡동,0.0,0.0,0.0,0.0,0.53,0.75,0.0,0.0,0.0,0.0,1.28,0.0,1592.22,1445.93,7513,5196,69.2,0,0,0,0,4,6,0,0,0,0,10
465,서울특별시 강남구 율현동,강남구,율현동,0.0,0.0,0.0,0.0,0.13,0.12,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,7513,5196,69.2,0,0,0,0,1,1,0,0,0,0,2
466,서울특별시 강남구 일원동,강남구,일원동,0.0,1.25,0.0,0.85,1.33,0.75,0.0,0.0,0.0,0.0,4.18,2099.0,1763.28,1594.0,7513,5196,69.2,0,1,0,4,10,6,0,0,0,0,21
467,서울특별시 강남구 수서동,강남구,수서동,0.0,1.25,3.33,1.49,0.67,0.5,0.87,0.0,0.0,0.0,8.11,1963.71,1633.71,1463.71,7513,5196,69.2,0,1,1,7,5,4,2,0,0,0,20
468,서울특별시 강남구 도곡동,강남구,도곡동,0.0,0.0,3.33,2.34,1.73,1.62,1.3,0.0,0.0,0.0,10.34,1884.4,1698.28,1548.71,7513,5196,69.2,0,0,1,11,13,13,3,0,0,0,41
469,서울특별시 송파구,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
470,서울특별시 송파구 잠실동,송파구,잠실동,3.33,10.0,3.33,4.47,2.27,4.12,1.3,0.0,0.0,0.0,28.83,1744.5,1538.14,1400.14,5807,4051,69.8,1,8,1,21,17,33,3,0,0,0,84
471,서울특별시 송파구 신천동,송파구,신천동,3.33,3.75,0.0,2.55,1.33,0.5,1.74,5.0,0.0,0.0,18.21,0.0,0.0,0.0,5807,4051,69.8,1,3,0,12,10,4,4,1,0,0,35
472,서울특별시 송파구 풍납동,송파구,풍납동,0.0,0.0,0.0,0.85,0.4,1.25,0.0,0.0,0.0,0.0,2.5,0.0,1799.0,1629.0,5807,4051,69.8,0,0,0,4,3,10,0,0,0,0,17
473,서울특별시 송파구 송파동,송파구,송파동,3.33,1.25,3.33,1.7,1.07,1.5,1.3,0.0,0.0,0.0,13.49,1707.0,1573.07,1432.72,5807,4051,69.8,1,1,1,8,8,12,3,0,0,0,34
474,서울특별시 송파구 석촌동,송파구,석촌동,0.0,0.0,0.0,2.34,1.07,1.62,0.43,0.0,0.0,0.0,5.47,1747.0,1561.69,1422.83,5807,4051,69.8,0,0,0,11,8,13,1,0,0,0,33
475,서울특별시 송파구 삼전동,송파구,삼전동,0.0,1.25,0.0,1.49,0.93,1.38,0.43,0.0,0.0,0.0,5.48,1747.0,1541.67,1403.67,5807,4051,69.8,0,1,0,7,7,11,1,0,0,0,27
476,서울특별시 송파구 가락동,송파구,가락동,3.33,0.0,0.0,2.98,2.0,2.25,1.74,0.0,0.0,0.0,12.3,1852.72,1615.57,1486.04,5807,4051,69.8,1,0,0,14,15,18,4,0,0,0,52
477,서울특별시 송파구 문정동,송파구,문정동,0.0,5.0,6.67,4.47,3.2,3.25,2.61,0.0,10.0,5.0,40.19,1778.0,1578.0,1438.0,5807,4051,69.8,0,4,2,21,24,26,6,0,1,1,85
478,서울특별시 송파구 장지동,송파구,장지동,3.33,1.25,3.33,1.7,0.4,1.0,0.43,0.0,0.0,0.0,11.45,1769.33,1576.88,1431.62,5807,4051,69.8,1,1,1,8,3,8,1,0,0,0,23
479,서울특별시 송파구 방이동,송파구,방이동,0.0,1.25,6.67,2.77,2.27,3.25,2.17,0.0,0.0,0.0,18.37,1760.0,1615.19,1465.67,5807,4051,69.8,0,1,2,13,17,26,5,0,0,0,64
480,서울특별시 송파구 오금동,송파구,오금동,0.0,1.25,0.0,1.91,1.2,0.88,0.43,0.0,0.0,0.0,5.67,1889.0,1582.24,1462.62,5807,4051,69.8,0,1,0,9,9,7,1,0,0,0,27
481,서울특별시 송파구 거여동,송파구,거여동,0.0,0.0,3.33,0.85,0.8,0.88,0.0,0.0,0.0,0.0,5.86,0.0,1592.0,1441.28,5807,4051,69.8,0,0,1,4,6,7,0,0,0,0,18
482,서울특별시 송파구 마천동,송파구,마천동,0.0,1.25,0.0,0.64,0.8,0.62,0.0,0.0,0.0,0.0,3.31,0.0,1542.64,1394.57,5807,4051,69.8,0,1,0,3,6,5,0,0,0,0,15
483,서울특별시 강동구,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0
484,서울특별시 강동구 명일동,강동구,명일동,0.0,1.25,3.33,1.28,1.33,1.12,0.87,0.0,0.0,0.0,9.19,1899.0,1649.0,1488.0,3919,2789,71.2,0,1,1,6,10,9,2,0,0,0,29
485,서울특별시 강동구 고덕동,강동구,고덕동,0.0,0.0,0.0,0.43,0.53,0.38,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,3919,2789,71.2,0,0,0,2,4,3,0,0,0,0,9
486,서울특별시 강동구 상일동,강동구,상일동,3.33,1.25,0.0,1.06,0.4,0.5,0.43,0.0,0.0,0.0,6.98,0.0,1581.71,1404.71,3919,2789,71.2,1,1,0,5,3,4,1,0,0,0,15
487,서울특별시 강동구 길동,강동구,길동,0.0,0.0,3.33,3.19,1.73,1.62,0.87,0.0,0.0,0.0,10.75,2268.0,1993.0,1797.0,3919,2789,71.2,0,0,1,15,13,13,2,0,0,0,44
488,서울특별시 강동구 둔촌동,강동구,둔촌동,3.33,0.0,0.0,0.85,0.67,0.88,0.0,0.0,0.0,0.0,5.73,1887.07,1637.07,1487.07,3919,2789,71.2,1,0,0,4,5,7,0,0,0,0,17
489,서울특별시 강동구 암사동,강동구,암사동,0.0,1.25,0.0,1.06,1.73,1.75,0.43,0.0,0.0,0.0,6.23,1912.07,1643.38,1482.62,3919,2789,71.2,0,1,0,5,13,14,1,0,0,0,34
490,서울특별시 강동구 성내동,강동구,성내동,3.33,1.25,10.0,2.55,2.67,3.0,1.74,5.0,10.0,0.0,39.54,1796.0,1603.75,1467.96,3919,2789,71.2,1,1,3,12,20,24,4,1,1,0,67
491,서울특별시 강동구 천호동,강동구,천호동,3.33,1.25,0.0,4.68,2.93,3.12,0.87,0.0,0.0,5.0,21.19,0.0,1628.5,1483.0,3919,2789,71.2,1,1,0,22,22,25,2,0,0,1,74
492,서울특별시 강동구 강일동,강동구,강일동,0.0,1.25,0.0,0.64,0.53,0.62,0.0,0.0,0.0,0.0,3.05,0.0,1628.0,1498.0,3919,2789,71.2,0,1,0,3,4,5,0,0,0,0,13
