,id,address,gu,dong,mac_score,lot_score,burgerking_score,seveneleven_score,cu_score,gs25_score,starbucks_score,lottecinema_score,megabox_score,cgv_score,total_score,high_oil,oil,oil2,total,catch,percent,mac_count,lot_count,burgerking_count,seveneleven_count,cu_count,gs25_count,starbucks_count,lottecinema_count,megabox_count,cgv_count,total_count,first,second,third,first_mapx,first_mapy,second_mapx,second_mapy,third_mapx,third_mapy
19,19,서울특별시 종로구 내수동,종로구,내수동,0.0,0.0,0.0,0.21,0.0,0.25,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,0,2,0,0,0,0,3,남산동1가,신계동,서빙고동,37.559260,126.984605,37.534581,126.964922,37.521042,126.993023
20,20,서울특별시 종로구 세종로,종로구,세종로,0.0,0.0,0.0,0.21,0.0,0.0,0.43,0.0,0.0,0.0,0.65,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,0,0,1,0,0,0,2,효제동,남대문로1가,본동,37.572859,127.003417,37.567451,126.982976,37.511491,126.954336
21,21,서울특별시 종로구 신문로1가,종로구,신문로1가,0.0,0.0,0.0,0.0,0.27,0.12,0.43,0.0,0.0,0.0,0.83,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,2,1,1,0,0,0,4,평동,부암동,장충동1가,37.567121,126.967018,37.594148,126.964248,37.561397,127.007583
22,22,서울특별시 종로구 신문로2가,종로구,신문로2가,0.0,0.0,0.0,0.0,0.13,0.12,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,1,1,0,0,0,0,2,운니동,가회동,원효로2가,37.576159,126.989206,37.582235,126.984666,37.536307,126.963165
23,23,서울특별시 종로구 청진동,종로구,청진동,0.0,0.0,0.0,0.43,0.27,0.62,0.87,0.0,0.0,0.0,2.19,0.0,0.0,0.0,3690,3913,106.0,0,0,0,2,2,5,2,0,0,0,11,당산동3가,세곡동,용산동2가,37.525551,126.896668,37.466494,127.103021,37.544184,126.985110
24,24,서울특별시 종로구 서린동,종로구,서린동,0.0,0.0,0.0,0.0,0.13,0.12,0.87,0.0,0.0,0.0,1.13,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,1,1,2,0,0,0,4,영등포동7가,동선동3가,상왕십리동,37.524619,126.906670,37.594108,127.020597,37.569332,127.025349
25,25,서울특별시 종로구 수송동,종로구,수송동,0.0,0.0,3.33,0.64,0.27,0.38,1.3,0.0,0.0,0.0,5.92,0.0,0.0,0.0,3690,3913,106.0,0,0,1,3,2,3,3,0,0,0,12,종로2가,구산동,한강로2가,37.570195,126.986454,37.611390,126.910297,37.531715,126.970242
26,26,서울특별시 종로구 중학동,종로구,중학동,0.0,0.0,0.0,0.0,0.13,0.12,0.43,0.0,0.0,0.0,0.69,2388.0,2176.0,1997.0,3690,3913,106.0,0,0,0,0,1,1,1,0,0,0,3,삼청동,계동,광희동1가,37.585404,126.982123,37.581321,126.987016,37.565194,127.005069
27,27,서울특별시 종로구 종로1가,종로구,종로1가,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,0,0,0,0,0,0,1,견지동,경운동,사간동,37.573529,126.983065,37.574538,126.986664,37.577668,126.980593
28,28,서울특별시 종로구 공평동,종로구,공평동,0.0,0.0,0.0,0.21,0.13,0.12,0.0,0.0,0.0,0.0,0.47,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,1,1,0,0,0,0,3,와룡동,익선동,신영동,37.576950,126.991141,37.574082,126.989819,37.602696,126.961378
29,29,서울특별시 종로구 관훈동,종로구,관훈동,0.0,0.0,0.0,0.0,0.13,0.5,0.0,0.0,0.0,0.0,0.63,0.0,0.0,0.0,3690,3913,106.0,0,0,0,0,1,4,0,0,0,0,5,양화동,삼선동2가,종로5가,37.545629,126.891554,37.585259,127.010538,37.570540,127.003794
30,30,서울특별시 종로구 견지동,종로구,견지동,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,3690,3913,106.0,0,0,0,1,0,0,0,0,0,0,1,경운동,사간동,예지동,37.574538,126.986664,37.577668,126.980593,37.569643,126.997971
