,Unnamed: 0,id,address,gu,dong,mac_score,lot_score,burgerking_score,seveneleven_score,cu_score,gs25_score,starbucks_score,lottecinema_score,megabox_score,cgv_score,total_score,high_oil,oil,oil2,total,catch,percent,mac_count,lot_count,burgerking_count,seveneleven_count,cu_count,gs25_count,starbucks_count,lottecinema_count,megabox_count,cgv_count,total_count,first,second,third,first_mapx,first_mapy,second_mapx,second_mapy,third_mapx,third_mapy,elementary_count,middle_count,high_count,park_count,station
126,126,126,서울특별시 중구 필동1가,중구,필동1가,0.0,0.0,0.0,0.21,0.0,0.38,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.0,4030,2679,66.5,0,0,0,1,0,3,0,0,0,0,4,교남동,재동,연지동,37.567917,126.965108,37.578363,126.985575,37.57359,126.999447,0,0,0,0,[]
127,127,127,서울특별시 중구 필동2가,중구,필동2가,0.0,0.0,0.0,0.21,0.27,0.25,0.87,0.0,0.0,0.0,1.6,2423.5,2198.5,2013.5,4030,2679,66.5,0,0,0,1,2,2,2,0,0,0,7,양평동5가,명륜3가,영등포동1가,37.538964,126.893422,37.588359000000004,126.994739,37.51771,126.91305700000001,0,0,0,1,"['충무로역 3호선', '충무로역 4호선']"
128,128,128,서울특별시 중구 필동3가,중구,필동3가,0.0,0.0,3.33,0.43,0.4,0.12,0.0,0.0,0.0,0.0,4.28,0.0,0.0,0.0,4030,2679,66.5,0,0,1,2,3,1,0,0,0,0,7,남현동,일원동,숭인동,37.474115999999995,126.976721,37.491326,127.083799,37.575979,127.01880200000001,0,0,0,0,[]
129,129,129,서울특별시 중구 남학동,중구,남학동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4030,2679,66.5,0,0,0,0,0,0,0,0,0,0,0,주자동,방산동,입정동,37.560755,126.98985,37.568469,127.001903,37.567709,126.99304199999999,0,0,0,0,[]
130,130,130,서울특별시 중구 주자동,중구,주자동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4030,2679,66.5,0,0,0,0,0,0,0,0,0,0,0,방산동,입정동,의주로2가,37.568469,127.001903,37.567709,126.99304199999999,37.559382,126.96998500000001,0,0,0,0,[]
131,131,131,서울특별시 중구 예장동,중구,예장동,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.0,4030,2679,66.5,0,0,0,2,0,0,0,0,0,0,2,충정로1가,현저동,묵정동,37.567411,126.96864199999999,37.576485999999996,126.95421999999999,37.561401000000004,127.00087099999999,2,0,1,4,[]
132,132,132,서울특별시 중구 장충동1가,중구,장충동1가,0.0,0.0,0.0,0.0,0.13,0.25,0.43,0.0,0.0,0.0,0.82,2450.0,2250.0,2029.0,4030,2679,66.5,0,0,0,0,1,2,1,0,0,0,4,남창동,초동,원효로1가,37.55845,126.97746399999998,37.564226,126.992375,37.539977,126.966998,0,0,0,0,[]
133,133,133,서울특별시 중구 장충동2가,중구,장충동2가,0.0,0.0,0.0,0.43,0.53,0.5,0.0,0.0,0.0,0.0,1.46,0.0,0.0,0.0,4030,2679,66.5,0,0,0,2,4,4,0,0,0,0,10,평창동,우이동,신공덕동,37.61042,126.96983700000001,37.658784999999995,127.01118999999998,37.544374,126.956854,1,0,0,2,['동대입구역 3호선']
134,134,134,서울특별시 중구 광희동1가,중구,광희동1가,0.0,0.0,0.0,0.0,0.13,0.12,0.43,0.0,0.0,0.0,0.69,0.0,0.0,0.0,4030,2679,66.5,0,0,0,0,1,1,1,0,0,0,3,수하동,광희동2가,쌍림동,37.567242,126.984082,37.563798999999996,127.008655,37.563176,127.004625,0,0,0,1,['동대문역사문화공원역 5호선']
135,135,135,서울특별시 중구 광희동2가,중구,광희동2가,0.0,0.0,0.0,0.43,0.13,0.12,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,4030,2679,66.5,0,0,0,2,1,1,0,0,0,0,4,쌍림동,오장동,청파동1가,37.563176,127.004625,37.564685,127.0007,37.54887,126.967046,0,0,0,0,['동대문역사문화공원역 4호선']
