,address,gu,dong,mac_count,lot_count,burgerking_count,seveneleven_count,cu_count,gs25_count,starbucks_count,lottecinema_count,megabox_count,cgv_count,total_count
320,서울특별시 서대문구 옥천동,서대문구,옥천동,0,0,0,0,0,0,0,0,0,0,0
321,서울특별시 서대문구 영천동,서대문구,영천동,0,0,0,1,0,0,0,0,0,0,1
322,서울특별시 서대문구 현저동,서대문구,현저동,0,0,0,0,3,0,0,0,0,0,3
323,서울특별시 서대문구 북아현동,서대문구,북아현동,0,0,0,0,8,4,1,0,0,0,13
324,서울특별시 서대문구 홍제동,서대문구,홍제동,1,0,1,5,13,11,1,0,0,0,32
325,서울특별시 서대문구 대현동,서대문구,대현동,0,1,0,5,6,5,2,0,0,0,19
326,서울특별시 서대문구 대신동,서대문구,대신동,0,0,0,1,5,3,1,0,0,0,10
327,서울특별시 서대문구 신촌동,서대문구,신촌동,0,0,0,0,5,1,2,0,1,0,9
328,서울특별시 서대문구 봉원동,서대문구,봉원동,0,0,0,0,0,0,0,0,0,0,0
329,서울특별시 서대문구 창천동,서대문구,창천동,1,1,2,9,9,12,7,0,0,1,42
330,서울특별시 서대문구 연희동,서대문구,연희동,0,0,1,6,15,14,2,0,0,0,38
331,서울특별시 서대문구 홍은동,서대문구,홍은동,0,0,0,7,10,7,0,0,0,0,24
332,서울특별시 서대문구 북가좌동,서대문구,북가좌동,0,0,1,8,14,14,0,0,0,0,37
333,서울특별시 서대문구 남가좌동,서대문구,남가좌동,1,1,0,5,9,12,2,0,0,0,30
334,서울특별시 마포구,,,0,0,0,0,0,0,0,0,0,0,0
335,서울특별시 마포구 아현동,마포구,아현동,0,0,0,4,4,5,2,0,0,0,15
336,서울특별시 마포구 공덕동,마포구,공덕동,0,0,1,4,8,9,1,0,0,0,23
337,서울특별시 마포구 신공덕동,마포구,신공덕동,0,0,0,1,3,3,1,0,0,0,8
338,서울특별시 마포구 도화동,마포구,도화동,1,0,0,10,4,11,3,0,0,0,29
339,서울특별시 마포구 용강동,마포구,용강동,0,0,0,2,3,3,1,0,0,0,9
340,서울특별시 마포구 토정동,마포구,토정동,0,0,0,1,0,0,0,0,0,0,1
341,서울특별시 마포구 마포동,마포구,마포동,0,0,0,1,1,1,0,0,0,0,3
342,서울특별시 마포구 대흥동,마포구,대흥동,0,1,0,3,4,8,1,0,0,0,17
343,서울특별시 마포구 염리동,마포구,염리동,0,0,0,3,5,1,1,0,0,0,10
344,서울특별시 마포구 노고산동,마포구,노고산동,0,1,0,4,6,6,1,0,0,0,18
345,서울특별시 마포구 신수동,마포구,신수동,0,0,0,4,3,6,2,0,0,0,15
346,서울특별시 마포구 현석동,마포구,현석동,0,0,0,0,1,3,0,0,0,0,4
347,서울특별시 마포구 구수동,마포구,구수동,0,0,0,0,0,1,0,0,0,0,1
348,서울특별시 마포구 창전동,마포구,창전동,0,0,0,4,2,8,1,0,0,0,15
349,서울특별시 마포구 상수동,마포구,상수동,0,0,0,1,4,8,2,0,0,0,15
350,서울특별시 마포구 하중동,마포구,하중동,0,0,0,0,0,0,0,0,0,0,0
351,서울특별시 마포구 신정동,마포구,신정동,1,1,1,26,19,29,3,0,0,0,80
352,서울특별시 마포구 당인동,마포구,당인동,0,0,0,1,0,0,0,0,0,0,1
353,서울특별시 마포구 서교동,마포구,서교동,1,1,1,24,20,17,8,1,0,0,73
354,서울특별시 마포구 동교동,마포구,동교동,1,0,1,7,6,7,3,1,1,1,28
355,서울특별시 마포구 합정동,마포구,합정동,0,0,0,5,7,11,1,0,0,0,24
356,서울특별시 마포구 망원동,마포구,망원동,1,1,0,9,11,12,0,0,0,0,34
357,서울특별시 마포구 연남동,마포구,연남동,0,0,0,5,7,12,0,0,0,0,24
358,서울특별시 마포구 성산동,마포구,성산동,0,0,0,7,12,22,0,0,1,0,42
359,서울특별시 마포구 중동,마포구,중동,0,0,0,3,0,2,0,0,0,0,5
360,서울특별시 마포구 상암동,마포구,상암동,1,1,2,9,16,13,5,0,0,0,47
361,서울특별시 양천구,,,0,0,0,0,0,0,0,0,0,0,0
362,서울특별시 양천구 신정동,양천구,신정동,1,1,1,26,19,29,3,0,0,0,80
363,서울특별시 양천구 목동,양천구,목동,1,3,3,20,33,31,10,0,1,1,103
364,서울특별시 양천구 신월동,양천구,신월동,2,1,1,10,24,29,1,0,0,0,68
365,서울특별시 강서구,,,0,0,0,0,0,0,0,0,0,0,0
366,서울특별시 강서구 염창동,강서구,염창동,1,1,0,5,11,10,1,0,0,0,29
367,서울특별시 강서구 등촌동,강서구,등촌동,1,3,0,15,19,18,3,1,0,1,61
368,서울특별시 강서구 화곡동,강서구,화곡동,1,1,1,38,49,53,3,0,1,0,147
