번호	지역	상호	주소	기간	상표	셀프여부	고급휘발유	휘발유	경유	실내등유
A0000981	서울 양천구	가로공원주유소	서울 양천구 가로공원로 165 (신월동)	2019년 10월 4주	SK에너지	일반	0.00	1506.00	1357.00	0.00
A0001015	서울 양천구	개나리(셀프주유소)	서울 양천구 남부순환로 442 (신월동)	2019년 10월 4주	SK에너지	셀프	0.00	1474.71	1304.71	0.00
A0000944	서울 양천구	대농self주유소	서울 양천구 중앙로 331 (신월동)	2019년 10월 4주	SK에너지	셀프	0.00	1517.00	1369.00	0.00
A0000985	서울 양천구	목동주유소	서울 양천구 목동중앙로 125 (목동)	2019년 10월 4주	SK에너지	셀프	0.00	1510.00	1360.71	0.00
A0000974	서울 양천구	신양주유소	서울특별시 양천구  지양로 67 (신월7동)	2019년 10월 4주	SK에너지	일반	0.00	1653.00	1484.00	1249.00
A0000992	서울 양천구	신월주유소	서울 양천구 신월로 193 (신월동)	2019년 10월 4주	GS칼텍스	셀프	0.00	1488.00	1335.86	1100.00
A0001031	서울 양천구	신정동주유소	서울특별시 양천구 안양천로 663 (신정동)	2019년 10월 4주	현대오일뱅크	셀프	0.00	1536.57	1406.57	0.00
A0007701	서울 양천구	양정주유소	서울특별시 양천구 국회대로 158 (신정동)	2019년 10월 4주	현대오일뱅크	일반	0.00	1597.00	1458.00	0.00
A0000948	서울 양천구	양천구주유소	서울 양천구 국회대로 275 (목동)	2019년 10월 4주	알뜰주유소	셀프	0.00	1495.00	1365.00	0.00
A0000011	서울 양천구	지에스이앤알 직영 서울주유소	서울 양천구 신정로 236 (신정동)	2019년 10월 4주	GS칼텍스	일반	0.00	1513.00	1363.29	0.00
A0000990	서울 양천구	지에스칼텍스㈜ 건지주유소	서울 양천구 안양천로 1171 (목동)	2019년 10월 4주	GS칼텍스	셀프	1676.57	1515.14	1360.86	1190.00
A0000978	서울 양천구	지에스칼텍스㈜ 서호주유소	서울 양천구 남부순환로 317	2019년 10월 4주	GS칼텍스	셀프	1666.14	1503.29	1388.43	1005.00
A0001008	서울 양천구	평화주유소	서울 양천구 안양천로 657 (신정동)	2019년 10월 4주	SK에너지	일반	2039.86	1874.14	1687.43	0.00
A0000996	서울 양천구	현대오일뱅크(주)직영 양천셀프주유소	서울 양천구 목동로 17 (신정동)	2019년 10월 4주	현대오일뱅크	셀프	1630.71	1515.00	1365.00	0.00
A0000961	서울 양천구	현대오일뱅크㈜직영 목동셀프주유소	서울 양천구 공항대로 648 (목동)	2019년 10월 4주	현대오일뱅크	셀프	0.00	1495.00	1355.00	0.00
A0001005	서울 양천구	현대주유소	서울 양천구 남부순환로 372 (신월동)	2019년 10월 4주	S-OIL	셀프	0.00	1473.29	1303.29	0.00
A0000983	서울 양천구	형산석유(주)원주유소	서울 양천구 남부순환로 408	2019년 10월 4주	현대오일뱅크	일반	0.00	1473.29	1303.29	995.00
A0000400	서울 영등포구	(주)MS주유소	서울 영등포구 대림로 230	2019년 10월 4주	현대오일뱅크	일반	0.00	1509.00	1339.00	0.00
A0000421	서울 영등포구	(주)강서오일	서울 영등포구 도신로 151	2019년 10월 4주	현대오일뱅크	일반	0.00	1509.00	1339.00	929.00
A0000444	서울 영등포구	(주)대청에너지 대청주유소	서울 영등포구 가마산로 328 (대림동)	2019년 10월 4주	GS칼텍스	일반	0.00	1509.00	1339.00	0.00
A0000323	서울 영등포구	(주)한미석유 제2한강주유소	서울 영등포구 선유로 260 (양평동4가)	2019년 10월 4주	GS칼텍스	셀프	0.00	1566.00	1430.00	0.00
A0000308	서울 영등포구	KH여의도주유소	서울 영등포구 국회대로 794 (여의도동)	2019년 10월 4주	SK에너지	일반	2045.00	1979.00	1799.00	0.00
A0000316	서울 영등포구	SJ오일(주) 여의도주유소	서울 영등포구 은행로 64	2019년 10월 4주	GS칼텍스	일반	2043.00	1973.00	1800.00	1268.00
A0000305	서울 영등포구	SK네트웍스(주) 영등포행복SELF주유소	서울특별시 영등포구 선유로 114(양평동1가)	2019년 10월 4주	SK에너지	셀프	0.00	1626.14	1510.43	0.00
A0000327	서울 영등포구	SK네트웍스(주)직영기린주유소	서울 영등포구 선유로 270	2019년 10월 4주	SK에너지	셀프	0.00	1649.00	1499.00	1324.14
A0000312	서울 영등포구	SK네트웍스㈜직영 여의도주유소	서울 영등포구 의사당대로 154 (여의도동)	2019년 10월 4주	SK에너지	일반	2129.00	1999.00	1839.00	0.00
A0000427	서울 영등포구	SK네트윅스(주)윈윈주유소	서울 영등포구 가마산로 379	2019년 10월 4주	SK에너지	셀프	0.00	1569.00	1439.00	0.00
A0000431	서울 영등포구	SK에너지(주) 신길동주유소	서울 영등포구 영등포로 348 (신길동)	2019년 10월 4주	SK에너지	일반	1654.57	1554.57	1416.86	1173.00
A0000309	서울 영등포구	SK에너지(주) 양평주유소	서울 영등포구 선유로 195 (양평동3가)	2019년 10월 4주	SK에너지	셀프	0.00	1570.29	1434.29	0.00
A0000293	서울 영등포구	sk여명주유소	서울 영등포구 국회대로62길 7 (여의도동)	2019년 10월 4주	SK에너지	일반	0.00	1667.00	1497.00	0.00
A0000261	서울 영등포구	㈜지에스이앤알 모드니주유소	서울 영등포구 경인로 789	2019년 10월 4주	GS칼텍스	일반	0.00	1529.00	1369.00	0.00
A0000310	서울 영등포구	남부(영등포)	서울 영등포구 경인로 822 (영등포동)	2019년 10월 4주	SK에너지	셀프	0.00	1559.00	1389.00	0.00
A0000412	서울 영등포구	남서울고속주유소	서울 영등포구 가마산로 367 (대림동)	2019년 10월 4주	SK에너지	셀프	0.00	1539.00	1399.00	0.00
A0000588	서울 영등포구	대영주유소	서울 영등포구 국회대로 632 (영등포동7가)	2019년 10월 4주	GS칼텍스	셀프	0.00	1659.00	1520.00	0.00
A0001034	서울 영등포구	도림주유소	서울 영등포구 도림로 343 (도림동)	2019년 10월 4주	알뜰주유소	셀프	0.00	1509.00	1339.00	0.00
A0000370	서울 영등포구	매봉주유소	서울 영등포구 도신로 248 (신길동)	2019년 10월 4주	현대오일뱅크	셀프	0.00	1509.00	1369.00	1100.00
A0000287	서울 영등포구	버드나룻길주유소	서울 영등포구 버드나루로 111 (당산동)	2019년 10월 4주	SK에너지	일반	2029.00	1911.43	1780.00	1340.00
A0000346	서울 영등포구	보라주유소	서울특별시 영등포구  영등포로 399 (신길동)	2019년 10월 4주	GS칼텍스	일반	0.00	1539.00	1386.14	1021.43
A0000279	서울 영등포구	선유도주유소	서울 영등포구 양평로 141 (양평동5가)	2019년 10월 4주	S-OIL	셀프	0.00	1566.00	1430.00	0.00
A0000443	서울 영등포구	성락주유소	서울 영등포구 가마산로 414 (신길동)	2019년 10월 4주	S-OIL	셀프	0.00	1520.43	1356.14	0.00
A0000442	서울 영등포구	씨앤에스유통 한성주유소	서울 영등포구 여의대방로 227	2019년 10월 4주	S-OIL	일반	0.00	1566.57	1432.29	990.00
A0000328	서울 영등포구	지에스칼텍스(주) 국회대로주유소	서울 영등포구 국회대로 746 (여의도동)	2019년 10월 4주	GS칼텍스	일반	2039.00	1961.00	1800.00	0.00
A0000410	서울 영등포구	지에스칼텍스㈜ 신길주유소	서울 영등포구 신길로 74 (신길동)	2019년 10월 4주	GS칼텍스	셀프	1669.00	1519.00	1366.14	1099.00
A0000292	서울 영등포구	지에스칼텍스㈜ 화일주유소	서울 영등포구 도림로 415	2019년 10월 4주	GS칼텍스	셀프	1706.14	1550.43	1399.00	1169.00
A0000433	서울 영등포구	한경석유(주)경덕주유소	서울 영등포구 여의대방로23길 2 (신길동)	2019년 10월 4주	SK에너지	셀프	0.00	1519.00	1370.43	0.00
A0000270	서울 영등포구	한일주유소	서울 영등포구 도림로 486 (문래동3가)	2019년 10월 4주	SK에너지	일반	0.00	1840.00	1680.00	1350.00
A0000408	서울 영등포구	행촌주유소	서울 영등포구 도신로 130 (신길동)	2019년 10월 4주	SK에너지	일반	0.00	1509.00	1359.00	0.00
A0000290	서울 영등포구	현대오일뱅크㈜직영 대일셀프주유소	서울 영등포구 영등포로 168	2019년 10월 4주	현대오일뱅크	셀프	1749.00	1550.43	1430.43	0.00
A0000206	서울 용산구	(주)남경주유소	서울 용산구 녹사평대로11길 24	2019년 10월 4주	SK에너지	일반	2218.00	1999.00	1860.00	1339.00
A0000245	서울 용산구	(주)신태성주유소	서울 용산구 원효로 147 (원효로3가)	2019년 10월 4주	SK에너지	일반	2160.00	1940.00	1795.00	1253.29
A0000225	서울 용산구	(주)영원 풍기주유소	서울 용산구 원효로 178 (원효로2가)	2019년 10월 4주	GS칼텍스	일반	2169.00	1934.00	1768.00	1367.00
A0000235	서울 용산구	(주)한독모터스용산뉴타운주유소	서울 용산구 한강대로 48 (한강로3가)	2019년 10월 4주	GS칼텍스	일반	1758.00	1638.00	1518.00	1020.57
A0000232	서울 용산구	갈월동주유소	서울 용산구 한강대로 322 (갈월동)	2019년 10월 4주	SK에너지	일반	2249.00	1999.00	1899.00	1342.43
A0000230	서울 용산구	강변주유소	서울특별시 용산구  원효로 9 (청암동)	2019년 10월 4주	SK에너지	일반	2089.00	1799.00	1691.86	0.00
A0000223	서울 용산구	동자동 주유소	서울 용산구 한강대로104길 6 (동자동)	2019년 10월 4주	SK에너지	일반	2390.00	2090.00	1890.00	1400.00
A0000925	서울 용산구	서계주유소	서울 용산구 청파로 367 (서계동)	2019년 10월 4주	GS칼텍스	일반	2174.00	2048.00	1906.00	1250.00
A0000202	서울 용산구	수림석유 제3한강주유소	서울 용산구 한남대로 45 (한남동)	2019년 10월 4주	GS칼텍스	일반	2313.00	2018.00	1877.00	1000.00
A0000228	서울 용산구	에너비스	서울 용산구 한남대로 82 (한남동)	2019년 10월 4주	SK에너지	일반	2398.00	2178.00	1998.00	0.00
A0000212	서울 용산구	용일주유소	서울 용산구 한강대로 37 (한강로3가)	2019년 10월 4주	GS칼텍스	일반	1958.00	1658.00	1538.00	1148.00
A0000238	서울 용산구	한남지점	서울 용산구 한남대로21길 4 (한남동)	2019년 10월 4주	SK에너지	일반	2398.00	2178.00	1998.00	0.00
A0000221	서울 용산구	한석주유소	서울특별시 용산구  이촌로 164 (이촌제1동)	2019년 10월 4주	SK에너지	일반	2057.00	1857.00	1740.00	0.00
A0000240	서울 용산구	현대오일뱅크(주)직영 소월길주유소	서울 용산구 소월로 66 (후암동)	2019년 10월 4주	현대오일뱅크	일반	2297.00	1955.14	1865.14	0.00
A0000229	서울 용산구	흥국주유소	서울 용산구 한남대로 204 (한남동)	2019년 10월 4주	SK에너지	일반	2499.00	1999.00	1909.00	0.00
A0000707	서울 은평구	(주)명연에너지 수색훼미리주유소	서울 은평구 수색로 236 (수색동)	2019년 10월 4주	현대오일뱅크	셀프	0.00	1505.00	1340.00	0.00
A0000664	서울 은평구	(주)에스지주유소	서울 은평구 증산로 371 (신사동)	2019년 10월 4주	현대오일뱅크	셀프	0.00	1518.00	1378.00	0.00
A0000686	서울 은평구	SK네트웍스(주)은평드림주유소	 서울특별시 은평구 통일로 1151 (진관동)	2019년 10월 4주	SK에너지	일반	1743.29	1613.29	1486.14	1113.29
A0033131	서울 은평구	뉴타운셀프주유소	서울특별시 은평구  통일로 1031	2019년 10월 4주	S-OIL	셀프	0.00	1583.57	1424.14	0.00
A0000619	서울 은평구	다회주유소	서울 은평구 증산로 441 (신사동)	2019년 10월 4주	S-OIL	셀프	0.00	1504.00	1354.00	0.00
A0000683	서울 은평구	대성산업㈜ 대성주유소	서울 은평구 통일로 642	2019년 10월 4주	GS칼텍스	셀프	1727.14	1562.29	1422.29	0.00
A0000745	서울 은평구	박석고개주유소	서울 은평구 통일로 945 (갈현동)	2019년 10월 4주	SK에너지	셀프	0.00	1593.43	1430.29	0.00
A0000725	서울 은평구	불광주유소	서울 은평구 연서로 314 (불광동)	2019년 10월 4주	현대오일뱅크	일반	0.00	1513.00	1363.00	0.00
A0000680	서울 은평구	성원이앤에스(주)은평지점	서울 은평구 통일로 968 (진관동)	2019년 10월 4주	GS칼텍스	일반	1797.14	1583.29	1424.71	0.00
A0000687	서울 은평구	은평뉴타운주유소	서울 은평구 통일로 924 (불광동)	2019년 10월 4주	SK에너지	셀프	0.00	1593.43	1430.29	990.00
A0005900	서울 은평구	이케이에너지(주)번개주유소	서울 은평구 응암로 163	2019년 10월 4주	자가상표	셀프	0.00	1494.00	1330.00	0.00
A0000690	서울 은평구	지에스칼텍스(주)수색뉴타운주유소	서울 은평구 수색로 350 (수색동)	2019년 10월 4주	GS칼텍스	셀프	0.00	1513.57	1347.14	0.00
A0000631	서울 은평구	지에스칼텍스㈜ 녹번주유소	서울 은평구 통일로 600 (녹번동)	2019년 10월 4주	GS칼텍스	일반	1719.71	1590.43	1433.29	1000.00
A0000630	서울 은평구	지에스칼텍스㈜ 서부주유소	서울 은평구 응암로 210 (응암동)	2019년 10월 4주	GS칼텍스	셀프	1670.57	1512.00	1374.71	1000.00
A0000629	서울 은평구	지에스칼텍스㈜ 신사제일주유소	서울 은평구 증산로 423 (신사동)	2019년 10월 4주	GS칼텍스	셀프	1712.57	1512.57	1362.57	1000.00
A0000704	서울 은평구	코끼리주유소	서울 은평구 서오릉로 41 (녹번동)	2019년 10월 4주	자가상표	일반	0.00	1595.86	1475.86	0.00
A0000571	서울 은평구	타이거주유소	서울 은평구 수색로 188 (증산동)	2019년 10월 4주	SK에너지	셀프	0.00	1505.00	1340.00	1100.00
A0010027	서울 종로구	(주)대양씨앤씨 사직주유소	서울 종로구 사직로 65 (사직동)	2019년 10월 4주	GS칼텍스	일반	2385.00	2178.00	1996.00	1290.00
A0009433	서울 종로구	(주)중앙에너비스 혜화주유소	서울 종로구 창경궁로35길 1	2019년 10월 4주	SK에너지	일반	2398.00	2178.00	1998.00	1330.00
A0000063	서울 종로구	SK네트웍스(주)재동주유소	서울 종로구 율곡로 58 (경운동)	2019년 10월 4주	SK에너지	일반	0.00	1999.00	1899.00	1299.00
A0000045	서울 종로구	SK북악주유소	서울 종로구 평창문화로 137	2019년 10월 4주	SK에너지	일반	2298.00	1998.00	1898.00	0.00
A0000035	서울 종로구	㈜지에스이앤알 평창주유소	서울 종로구 평창문화로 135 (평창동)	2019년 10월 4주	현대오일뱅크	일반	0.00	1659.00	1469.00	0.00
A0000047	서울 종로구	경복궁주유소	서울 종로구 율곡로 6 (중학동)	2019년 10월 4주	GS칼텍스	일반	2388.00	2176.00	1997.00	0.00
A0002211	서울 종로구	구도일주유소특종	서울 종로구 평창문화로 90 (평창동)	2019년 10월 4주	S-OIL	일반	1988.00	1688.00	1528.00	1150.00
A0000064	서울 종로구	안풍주유소	서울 종로구 자하문로 303 (홍지동)	2019년 10월 4주	S-OIL	일반	1900.00	1574.00	1434.00	0.00
A0000069	서울 종로구	자하문주유소	서울 종로구 자하문로 248 (부암동)	2019년 10월 4주	SK에너지	셀프	1900.00	1664.57	1494.57	0.00
A0009100	서울 중구	(주)중앙에너비스 퇴계로지점	서울 중구 퇴계로 228 (필동2가)	2019년 10월 4주	SK에너지	일반	2398.00	2178.00	1998.00	0.00
A0000096	서울 중구	SC(주) 역전주유소	서울 중구 퇴계로 15	2019년 10월 4주	GS칼텍스	일반	2430.86	2278.00	2087.00	950.00
A0000767	서울 중구	서남주유소	서울 중구 통일로 30	2019년 10월 4주	SK에너지	일반	2654.00	2311.00	2165.57	0.00
A0009076	서울 중구	세화주유소	서울 중구 왕십리로 403 (신당동)	2019년 10월 4주	알뜰주유소	일반	0.00	1616.00	1419.43	0.00
A0009096	서울 중구	신당동주유소	서울 중구 다산로 242 (신당동)	2019년 10월 4주	SK에너지	일반	2248.00	1988.00	1838.00	1200.00
A0009097	서울 중구	약수주유소	서울 중구 다산로 173	2019년 10월 4주	GS칼텍스	일반	2436.00	2179.00	1997.86	0.00
A0009101	서울 중구	장충주유소	서울 중구 장충단로 202 (장충동1가)	2019년 10월 4주	SK에너지	일반	2450.00	2250.00	2029.00	0.00
A0009058	서울 중구	지에스칼텍스(주)초동주유소	서울 중구 마른내로 31	2019년 10월 4주	GS칼텍스	일반	2339.00	2189.00	2026.00	1529.00
A0009047	서울 중구	필동주유소	서울 중구  퇴계로 196 (필동2가)	2019년 10월 4주	GS칼텍스	일반	2449.00	2219.00	2029.00	1509.00
A0009071	서울 중구	현대오일뱅크 장원주유소	서울 중구 동호로 203 (신당동)	2019년 10월 4주	현대오일뱅크	일반	1998.00	1798.00	1658.00	1250.00
A0006093	서울 중구	화성주유소	서울 중구 다산로 233 (무학동)	2019년 10월 4주	S-OIL	일반	0.00	1868.00	1698.00	1200.00
A0009189	서울 중랑구	(주)기지에너지	서울 중랑구 용마산로 716 (신내동)	2019년 10월 4주	S-OIL	일반	0.00	1539.00	1389.00	1100.00
A0009203	서울 중랑구	(주)자연에너지 대창주유소	서울 중랑구 동일로 636 (면목동)	2019년 10월 4주	현대오일뱅크	일반	0.00	1497.00	1317.00	950.00
A0002227	서울 중랑구	구도일주유소	서울 중랑구 망우로 170 (상봉동)	2019년 10월 4주	S-OIL	셀프	0.00	1535.00	1375.00	1100.00
A0009217	서울 중랑구	구도일주유소 동천	서울특별시 중랑구  동일로 654 (면목동)	2019년 10월 4주	S-OIL	셀프	0.00	1497.00	1317.00	0.00
A0009130	서울 중랑구	대양주유소	서울 중랑구  봉우재로 105 (상봉동)	2019년 10월 4주	GS칼텍스	일반	0.00	1509.00	1340.00	950.00
A0009214	서울 중랑구	망우주유소(self)	서울 중랑구 망우로 311 (상봉동)	2019년 10월 4주	GS칼텍스	셀프	0.00	1534.00	1378.00	0.00
A0009158	서울 중랑구	면목SELF주유소	서울 중랑구 동일로 627 (면목동)	2019년 10월 4주	SK에너지	셀프	0.00	1497.00	1317.00	0.00
A0004216	서울 중랑구	신내주유소	서울 중랑구 용마산로 705 (신내동)	2019년 10월 4주	SK에너지	셀프	0.00	1533.00	1383.00	1100.00
A0010071	서울 중랑구	신일셀프주유소	서울 중랑구 상봉로 58 (망우동)	2019년 10월 4주	SK에너지	셀프	0.00	1529.00	1398.00	1100.00
A0032696	서울 중랑구	오천만주유소	서울 중랑구 동일로 547 (면목동)	2019년 10월 4주	S-OIL	일반	0.00	1505.57	1317.00	0.00
A0010081	서울 중랑구	용마로주유소	서울 중랑구  용마산로 309 (면목동)	2019년 10월 4주	SK에너지	셀프	0.00	1535.00	1375.00	1100.00
A0009138	서울 중랑구	우림주유소	서울 중랑구 용마산로 487 (망우동)	2019년 10월 4주	GS칼텍스	셀프	0.00	1497.00	1340.00	0.00
A0009220	서울 중랑구	재원에너지㈜ 범아주유소	서울 중랑구 동일로 881 (묵동)	2019년 10월 4주	S-OIL	일반	0.00	1528.00	1378.00	1090.00
A0009197	서울 중랑구	중랑교	서울 중랑구 망우로 229 (중화동)	2019년 10월 4주	SK에너지	셀프	1915.00	1575.00	1429.00	0.00
A0009180	서울 중랑구	지에스칼텍스㈜ 대원주유소	서울 중랑구 동일로 600	2019년 10월 4주	GS칼텍스	셀프	1752.00	1502.00	1322.00	1010.00
A0032659	서울 중랑구	지에스칼텍스㈜ 소망주유소	서울 중랑구 망우로 475	2019년 10월 4주	GS칼텍스	셀프	0.00	1541.00	1385.00	1100.00
