dong,high_oil,oil,oil2
원지동,,1502.29,1337.29
원효로2가,2169.0,1934.0,1768.0
원효로3가,2160.0,1940.0,1795.0
월계동,,1552.0933333333332,1384.6666666666667
응암동,1670.57,1503.0,1352.355
이문동,,1506.645,1361.645
이촌동,2057.0,1857.0,1740.0
일원동,2099.0,1763.2849999999999,1594.0
자곡동,,1592.2150000000001,1445.9299999999998
자양동,1835.0,1573.9033333333334,1450.57
잠실동,1744.5,1538.145,1400.145
잠원동,1797.0,1647.0,1527.0
장안동,1839.0,1565.285,1411.8225
장위동,1969.0,1531.6775,1364.3925000000002
장지동,1769.3333333333333,1576.875,1431.625
장충동1가,2450.0,2250.0,2029.0
전농동,,1497.965,1347.965
정릉동,1854.0,1533.535,1380.5
제기동,,1496.43,1346.43
종암동,1669.645,1520.05,1369.3833333333332
중계동,,1574.0,1414.0
중곡동,1727.0,1519.4283333333333,1345.8566666666668
중학동,2388.0,2176.0,1997.0
중화동,1915.0,1575.0,1429.0
증산동,,1505.0,1340.0
진관동,1770.2150000000001,1593.3833333333332,1444.9966666666667
창동,,1521.43,1382.572
창전동,2109.0,1939.0,1765.0
창천동,1990.86,1561.86,1401.86
천호동,,1628.5,1483.0
청담동,2124.19,1882.7133333333331,1770.0
청량리동,,1589.0,1434.0
청암동,2089.0,1799.0,1691.86
초동,2339.0,2189.0,2026.0
평창동,2143.0,1781.6666666666667,1631.6666666666667
풍납동,,1799.0,1629.0
필동2가,2423.5,2198.5,2013.5
하계동,1996.71,1698.5,1580.0
하왕십리동,,1898.0,1747.0
하월곡동,1739.0,1589.0,1429.0
한강로3가,1858.0,1648.0,1528.0
한남동,2402.0,2093.25,1945.5
합정동,,1840.0,1670.0
항동,,1498.0,1334.0
혜화동,2398.0,2178.0,1998.0
홍은동,,1552.7849999999999,1396.36
홍제동,1893.43,1593.1799999999998,1436.465
홍지동,1900.0,1574.0,1434.0
화곡동,1685.9066666666668,1498.8575,1348.7662500000001
화양동,1985.0,1595.0,1469.0
후암동,2297.0,1955.14,1865.14
휘경동,1775.0,1578.5,1399.0375
흑석동,,1668.14,1528.14
