,title,address,roadAddress,mapx,mapy,category,description,telephone,link
48,<b>맥도날드</b> 양천구청점,서울특별시 양천구 신정동 323-20,서울특별시 양천구 목동동로 71 맥도널드신정점,299682,546536,양식>햄버거,,,http://www.mcdonalds.co.kr/
49,<b>맥도날드</b> 파리공원점,서울특별시 양천구 목동 908-25,서울특별시 양천구 목동서로 45,301304,548927,양식>햄버거,,02-2654-6107,http://www.mcdonalds.co.kr/
50,<b>맥도날드</b> 신월SK DT점,서울특별시 양천구 신월동 525-1,서울특별시 양천구 남부순환로 553,297542,547031,양식>햄버거,,,
51,<b>맥도날드</b> 송정역점,서울특별시 강서구 공항동 45-38,서울특별시 강서구 공항대로 21,295038,551724,양식>햄버거,,,http://www.mcdonalds.co.kr/
52,<b>맥도날드</b> 염창DT점,서울특별시 강서구 염창동 280-11,서울특별시 강서구 공항대로71길 3 맥도날드염창점,300491,550092,양식>햄버거,,,http://www.mcdonalds.co.kr/
53,<b>맥도날드</b> 우장산DT점,서울특별시 강서구 화곡동 1026,서울특별시 강서구 강서로 216 우장산 맥도날드,297461,549851,양식>햄버거,,,http://www.mcdonalds.co.kr/
54,<b>맥도날드</b> 등촌DT점,서울특별시 강서구 등촌동 630,서울특별시 강서구 양천로 546,299455,551299,양식>햄버거,,,
55,<b>맥도날드</b> 신도림디큐브점,서울특별시 구로구 신도림동 692,서울특별시 구로구 경인로 662 디큐브시티 B2,301925,545712,양식>햄버거,,,http://www.mcdonalds.co.kr/
56,<b>맥도날드</b> 신도림테크노점,서울특별시 구로구 구로동 3-25,서울특별시 구로구 새말로 97 신도림테크노마트,302131,545552,양식>햄버거,,,http://www.mcdonalds.co.kr/
57,<b>맥도날드</b> 고척DT점,서울특별시 구로구 고척동 73-20,서울특별시 구로구 경인로 393,299706,544510,양식>햄버거,,,http://mcdonalds.co.kr/
58,<b>맥도날드</b> 구로디지털,서울특별시 구로구 구로동 197-21,서울특별시 구로구 디지털로31길 12 태평양물산,302468,543132,양식>햄버거,,,http://www.mcdonalds.co.kr/
59,<b>맥도날드</b> 가산비지니스센터점,서울특별시 금천구 가산동 371-6,서울특별시 금천구 가산디지털1로 165 가산비지니스센터,301253,542598,양식>햄버거,,,
60,<b>맥도날드</b> 가산디지털점,서울특별시 금천구 가산동 50-3 대륭포스트6차 1층 103호,서울특별시 금천구 벚꽃로 298,301443,542724,양식>햄버거,,,
61,<b>맥도날드</b> 서울시흥DT점,서울특별시 금천구 시흥동 903-4,서울특별시 금천구 시흥대로 184,303114,539279,양식>햄버거,,,http://www.mcdonalds.co.kr/
62,<b>맥도날드</b> 마리오아울렛점,서울특별시 금천구 가산동 60-22 마리오 아울렛 1관,서울특별시 금천구 디지털로 185 마리오아울렛1,301750,542381,양식>햄버거,,,
63,<b>맥도날드</b> 여의도IFC몰점,서울특별시 영등포구 여의도동 23,서울특별시 영등포구 국제금융로 10 L3층,305262,547614,양식>햄버거,,,http://www.mcdonalds.co.kr/
64,<b>맥도날드</b> 영등포점,서울특별시 영등포구 영등포동3가 10-4,서울특별시 영등포구 경인로 855,303629,546651,양식>햄버거,,,
65,<b>맥도날드</b> 보라매,서울특별시 영등포구 신길동 505,서울특별시 영등포구 여의대방로 145 세인트빌딩,304714,544792,양식>햄버거,,,
66,<b>맥도날드</b> 양평SK점,서울특별시 영등포구 양평동3가 80-2,서울특별시 영등포구 선유로 195,302391,548232,양식>햄버거,,,
67,<b>맥도날드</b> 노량진점,서울특별시 동작구 노량진동 100-1,서울특별시 동작구 노량진로 158 정진학원,306806,546233,양식>햄버거,,,http://www.mcdonalds.co.kr/
68,<b>맥도날드</b> 이수점,서울특별시 동작구 사당동 147-115,서울특별시 동작구 사당로 300 이수자이,310057,542982,양식>햄버거,,,http://www.mcdonalds.co.kr/
69,<b>맥도날드</b> 숭실대점,서울특별시 동작구 상도동 505-5,서울특별시 동작구 사당로 22 창주빌딩,307960,544179,양식>햄버거,,,http://www.mcdonalds.co.kr/
70,<b>맥도날드</b> 중앙대점,서울특별시 동작구 흑석동 221 중앙대학교 약학대학 R&D센터 지하1층,서울특별시 동작구 흑석로10다길 14,308147,545405,양식>햄버거,,,http://www.mcdonalds.co.kr/
71,<b>맥도날드</b> 신림점,서울특별시 관악구 신림동 1641-22,서울특별시 관악구 신림로 310,305581,542755,양식>햄버거,,,http://www.mcdonalds.co.kr/
72,<b>맥도날드</b> 서울교대점,서울특별시 서초구 서초동 1674-5,서울특별시 서초구 서초대로 316 하림인터내셔날오피스텔,313196,544014,양식>햄버거,,,
73,<b>맥도날드</b> 양재점,서울특별시 서초구 양재동 24-6,서울특별시 서초구 강남대로 213 삼정스포타임,314928,542678,양식>햄버거,,,http://www.mcdonalds.co.kr/
74,<b>맥도날드</b> 서초GS,서울특별시 서초구 서초동 1536-1,서울특별시 서초구 효령로49길 52,312618,543177,양식>햄버거,,,http://www.mcdonalds.co.kr/
75,<b>맥도날드</b> 방배점,서울특별시 서초구 방배1동 909-9,서울특별시 서초구 방배로 81 유경빌딩,311500,542642,양식>햄버거,,,http://www.mcdonalds.co.kr/
76,<b>맥도날드</b> 서초뱅뱅점,서울특별시 서초구 서초동 1338-20 현대렉시온 101호,서울특별시 서초구 강남대로 305 서초현대렉시온,314492,543553,양식>햄버거,,,http://www.mcdonalds.co.kr/
77,<b>맥도날드</b> 양재SKDT점,서울특별시 서초구 양재동 81,서울특별시 서초구 바우뫼로 178 양재주유소,315251,542222,양식>햄버거,,,
78,<b>맥도날드</b> 강남2호점,서울특별시 강남구 역삼동 822-2,서울특별시 강남구 테헤란로 107 비전타워,314327,544500,양식>햄버거,,,http://www.mcdonalds.co.kr/
79,<b>맥도날드</b> 삼성역점,서울특별시 강남구 삼성동 158-15 지하1층,서울특별시 강남구 삼성로92길 29 도일빌딩,316993,545551,양식>햄버거,,,http://www.mcdonalds.co.kr/
80,<b>맥도날드</b> 강남구청역점,서울특별시 강남구 논현동 242-29,서울특별시 강남구 선릉로 667 성우빌딩,315454,546453,양식>햄버거,,,http://www.mcdonalds.co.kr/
81,<b>맥도날드</b> 신사역점,서울특별시 강남구 신사동 514-15 2층,서울특별시 강남구 도산대로 123 2층,313730,546595,양식>햄버거,,,
82,<b>맥도날드</b> 청담DT,서울특별시 강남구 청담동 87-3,서울특별시 강남구 도산대로 407 맥도날드,315361,547265,양식>햄버거,,,http://mcdonalds.co.kr/
83,<b>맥도날드</b> 코엑스,서울특별시 강남구 삼성동 159,서울특별시 강남구 봉은사로 524 코엑스인터콘티넨탈서울,317288,545664,양식>햄버거,,,
84,<b>맥도날드</b> 선릉점,서울특별시 강남구 역삼동 707-27,서울특별시 강남구 테헤란로 326 역삼 아이타워,315954,545034,양식>햄버거,,,http://www.mcdonalds.co.kr/
85,<b>맥도날드</b> 한티점,서울특별시 강남구 대치동 938-22 엠프리스 빌딩,서울특별시 강남구 도곡로 409 타워엠프리스,316655,544329,양식>햄버거,,,http://www.mcdonalds.co.kr/
86,<b>맥도날드</b> 압구정CGV점,서울특별시 강남구 신사동 603-2,서울특별시 강남구 논현로 848,314360,547370,양식>햄버거,,,
87,<b>맥도날드</b> 학동역점,서울특별시 강남구 논현동 129-1,서울특별시 강남구 논현로 667 진우빌딩,314498,546166,양식>햄버거,,,
88,<b>맥도날드</b>삼성DT점,서울특별시 강남구 삼성동 113-7,서울특별시 강남구 봉은사로 432,315977,545837,양식>햄버거,,,http://www.mcdonalds.co.kr/
89,한국<b>맥도날드</b>(유한),서울특별시 강남구 논현동 242-29,서울특별시 강남구 선릉로 667,315453,546446,음식점>햄버거,,,
90,<b>맥도날드</b> 신천점,서울특별시 송파구 잠실본동 181-9,서울특별시 송파구 올림픽로 108 맥스빌딩,319113,545875,양식>햄버거,,,http://www.mcdonalds.co.kr/
91,<b>맥도날드</b> 잠실역점,서울특별시 송파구 신천동 7-25,서울특별시 송파구 송파대로 558 월드타워빌딩,320589,546260,양식>햄버거,,,
92,<b>맥도날드</b> 가락맥드라이브점,서울특별시 송파구 가락동 193-7,서울특별시 송파구 동남로 196 맥도날드,323334,543999,양식>햄버거,,,http://www.mcdonalds.co.kr/
93,<b>맥도날드</b> 석촌역점,서울특별시 송파구 송파동 84,서울특별시 송파구 백제고분로 390,321435,545254,양식>햄버거,,,
94,<b>맥도날드</b> 송파잠실DT점,서울특별시 송파구 잠실동 305-15,서울특별시 송파구 도곡로 434,318589,545094,양식>햄버거,,,http://www.mcdonalds.co.kr/
95,<b>맥도날드</b> 위례신도시점,서울특별시 송파구 장지동 896,서울특별시 송파구 위례광장로 290 위례중앙푸르지오2단지,324364,541785,양식>햄버거,,,
96,<b>맥도날드</b> 강동구청점,서울특별시 강동구 성내동 539-2,서울특별시 강동구 성내로 15 삼육빌딩,322651,547929,양식>햄버거,,,http://www.mcdonalds.co.kr/
97,<b>맥도날드</b>서울둔촌DT점,서울특별시 강동구 둔촌동 517-2,서울특별시 강동구 양재대로 1382,323948,547817,양식>햄버거,,,
98,<b>맥도날드</b> 굽은다리역DT,서울특별시 강동구 천호동 31-10,서울특별시 강동구 양재대로 1587,324475,549805,양식>햄버거,,,http://www.mcdonalds.co.kr/
99,<b>맥도날드</b> 상일동점,서울특별시 강동구 상일동 502,서울특별시 강동구 상일로6길 39 강동타워,327316,550049,양식>햄버거,,,
